Date,Open,High,Low,Close,Adj Close,Volume
2014-10-12,6.960000,7.354000,6.768000,7.239000,6.821380,70489703
2014-10-19,7.234000,7.646000,7.060000,7.565000,7.128573,47917906
2014-10-26,7.634000,7.766000,7.152000,7.741000,7.294420,51883084
2014-11-02,7.756000,7.853000,7.516000,7.592000,7.154016,36811294
2014-11-09,7.568000,7.718000,7.531000,7.584000,7.146478,21716726
2014-11-16,7.513000,8.180000,7.505000,8.132000,7.662863,32687059
2014-11-23,8.180000,8.209000,7.725000,7.878000,7.423516,46344759
2014-11-30,7.815000,8.551000,7.781000,8.523000,8.031305,38427340
2014-12-07,8.562000,8.620000,8.350000,8.350000,7.868287,30395331
2014-12-14,8.327000,8.699000,8.083000,8.623000,8.125537,34863378
2014-12-21,8.649000,8.762000,8.612000,8.748000,8.243325,6398628
2014-12-28,8.770000,8.984000,8.655000,8.889000,8.376191,11830077
2015-01-04,8.869000,8.969000,8.471000,8.774000,8.267825,31179768
2015-01-11,8.822000,9.136000,8.767000,9.114000,8.588211,39134785
2015-01-18,9.180000,9.574000,9.156000,9.535000,8.984922,38321763
2015-01-25,9.520000,10.120000,9.510000,9.977000,9.401423,40836361
2015-02-01,9.925000,10.140000,9.764000,10.080000,9.498482,30828875
2015-02-08,10.000000,10.280000,9.709000,10.055000,9.474924,31959742
2015-02-15,10.065000,10.250000,9.870000,10.235000,9.816935,21555191
2015-02-22,10.320000,10.445000,10.245000,10.345000,9.922442,18271774
2015-03-01,10.330000,10.810000,10.235000,10.745000,10.306103,23850210
2015-03-08,10.720000,11.330000,10.670000,11.185000,10.728131,35710615
2015-03-15,11.190000,11.415000,10.865000,11.175000,10.718540,29103923
2015-03-22,11.310000,11.345000,10.500000,10.830000,10.387631,31951598
2015-03-29,11.000000,11.335000,10.970000,11.195000,10.737722,23664750
2015-04-05,11.195000,11.815000,11.195000,11.805000,11.322806,23709831
2015-04-12,11.800000,11.980000,11.210000,11.235000,10.776088,27202181
2015-04-19,11.245000,11.890000,11.175000,11.420000,10.953532,25490166
2015-04-26,11.485000,11.725000,10.400000,10.580000,10.147842,29494242
2015-05-03,10.610000,11.445000,10.495000,11.400000,10.934348,38895844
2015-05-10,11.390000,11.520000,11.090000,11.390000,10.924758,24474830
2015-05-17,11.445000,11.915000,11.275000,11.675000,11.198116,19132194
2015-05-24,11.675000,12.525000,11.505000,11.870000,11.385151,32152349
2015-05-31,11.990000,12.145000,11.625000,11.730000,11.250869,27278197
2015-06-07,11.700000,11.730000,11.150000,11.530000,11.059039,29752298
2015-06-14,11.410000,11.640000,11.065000,11.480000,11.011081,36750156
2015-06-21,11.800000,12.045000,11.685000,11.835000,11.351581,24411588
2015-06-28,11.200000,11.610000,11.050000,11.190000,10.732926,30306450
2015-07-05,10.955000,11.230000,10.665000,11.205000,10.747314,30865841
2015-07-12,11.385000,11.535000,11.105000,11.365000,10.900778,32007605
